Strategy,Scenario,Hand_Number,Player_Cards,Dealer_Cards,Player_Total,Dealer_Total,Player_Action,Bet_Amount,Result,Money_Change,Player_Busted,Dealer_Busted,Is_Blackjack,Bankroll_After,Cards_Count,Deck_Penetration_%,Cards_Remaining,Reshuffled_After
S12,8,9,3 of Diamonds | 4 of Diamonds | 6 of Clubs,Q of Hearts | 8 of Spades,13,18,Hit,50.0,Loss,-50.0,False,False,False,2375.0,5,15.1%,265,False
S12,8,10,2 of Clubs | J of Clubs,Q of Hearts | 6 of Hearts | 3 of Spades,12,19,Stand,150.0,Loss,-150.0,False,False,False,2225.0,5,16.7%,260,False
S12,8,11,9 of Diamonds | 3 of Clubs,K of Spades | J of Clubs,12,20,Stand,450.0,Loss,-450.0,False,False,False,1775.0,4,17.9%,256,False
S12,8,12,9 of Spades | K of Hearts,8 of Clubs | 6 of Clubs | 8 of Spades,19,22,Stand,1350.0,Win,1350.0,False,True,False,3125.0,5,19.6%,251,False
S12,8,13,A of Clubs | 5 of Spades,6 of Hearts | 3 of Diamonds | Q of Hearts,16,19,Stand,50.0,Loss,-50.0,False,False,False,3075.0,5,21.2%,246,False
S12,8,14,6 of Spades | J of Spades,K of Diamonds | 2 of Spades | 6 of Clubs,16,18,Stand,150.0,Loss,-150.0,False,False,False,2925.0,5,22.8%,241,False
S12,8,15,3 of Hearts | 5 of Clubs | J of Diamonds,10 of Hearts | 3 of Spades | 5 of Diamonds,18,18,Hit,450.0,Draw,0.0,False,False,False,2925.0,6,24.7%,235,False
S12,8,16,K of Clubs | J of Spades,3 of Diamonds | K of Spades | 4 of Hearts,20,17,Stand,50.0,Win,50.0,False,False,False,2975.0,5,26.3%,230,False
S12,8,17,Q of Spades | 2 of Hearts,8 of Spades | 9 of Clubs,12,17,Stand,50.0,Loss,-50.0,False,False,False,2925.0,4,27.6%,226,False
S12,8,18,A of Diamonds | 9 of Diamonds,9 of Diamonds | 4 of Hearts | K of Spades,20,23,Stand,150.0,Win,150.0,False,True,False,3075.0,5,29.2%,221,False
S12,8,19,4 of Clubs | 10 of Hearts,K of Hearts | 9 of Hearts,14,19,Stand,50.0,Loss,-50.0,False,False,False,3025.0,4,30.4%,217,False
S12,8,20,Q of Clubs | 9 of Spades,K of Diamonds | 6 of Hearts | 6 of Spades,19,22,Stand,150.0,Win,150.0,False,True,False,3175.0,5,32.1%,212,False
S12,8,21,3 of Clubs | A of Clubs,9 of Clubs | 8 of Hearts,14,17,Stand,50.0,Loss,-50.0,False,False,False,3125.0,4,33.3%,208,False
S12,8,22,Q of Diamonds | 2 of Spades,7 of Spades | 6 of Hearts | 7 of Diamonds,12,20,Stand,150.0,Loss,-150.0,False,False,False,2975.0,5,34.9%,203,False
S12,8,23,6 of Spades | 10 of Clubs,5 of Hearts | 7 of Clubs | 7 of Spades,16,19,Stand,450.0,Loss,-450.0,False,False,False,2525.0,5,36.5%,198,False
S12,8,24,9 of Hearts | K of Clubs,10 of Clubs | 9 of Clubs,19,19,Stand,1350.0,Draw,0.0,False,False,False,2525.0,4,37.8%,194,False
S12,8,25,5 of Hearts | 5 of Clubs | A of Spades,2 of Hearts | 7 of Clubs | 8 of Diamonds,21,17,Hit,50.0,Win,50.0,False,False,False,2575.0,6,39.7%,188,False
S12,9,1,9 of Spades | 2 of Diamonds | K of Clubs,3 of Diamonds | 3 of Hearts | 10 of Spades | 8 of Clubs,21,24,Hit,50.0,Win,50.0,False,True,False,2050.0,7,2.2%,305,False
S12,9,2,5 of Diamonds | 5 of Spades | 7 of Spades,8 of Diamonds | 9 of Diamonds,17,17,Hit,50.0,Draw,0.0,False,False,False,2050.0,5,3.8%,300,False
S12,9,3,3 of Hearts | 3 of Spades | A of Clubs,A of Diamonds | 8 of Hearts,17,19,Hit,50.0,Loss,-50.0,False,False,False,2000.0,5,5.4%,295,False
S12,9,4,J of Diamonds | 4 of Clubs,8 of Spades | J of Spades,14,18,Stand,150.0,Loss,-150.0,False,False,False,1850.0,4,6.7%,291,False
S12,9,5,5 of Diamonds | A of Spades,4 of Hearts | 9 of Clubs | K of Spades,16,23,Stand,450.0,Win,450.0,False,True,False,2300.0,5,8.3%,286,False
S12,9,6,6 of Clubs | 10 of Spades,A of Spades | 4 of Diamonds | 7 of Spades | Q of Spades,16,22,Stand,50.0,Win,50.0,False,True,False,2350.0,6,10.3%,280,False
S12,9,7,K of Spades | 3 of Hearts,8 of Diamonds | Q of Hearts,13,18,Stand,50.0,Loss,-50.0,False,False,False,2300.0,4,11.5%,276,False
S12,9,8,10 of Clubs | A of Diamonds,5 of Clubs | Q of Clubs,21,15,Blackjack,150.0,Blackjack,225.0,False,False,True,2525.0,4,12.8%,272,False
S12,9,9,Q of Hearts | 7 of Hearts,8 of Clubs | 9 of Hearts,17,17,Stand,50.0,Draw,0.0,False,False,False,2525.0,4,14.1%,268,False
S12,9,10,K of Spades | 7 of Diamonds,J of Hearts | 6 of Spades | 7 of Hearts,17,23,Stand,50.0,Win,50.0,False,True,False,2575.0,5,15.7%,263,False
S12,9,11,3 of Spades | 5 of Spades | A of Clubs,A of Hearts | K of Spades,19,21,Hit,50.0,Loss,-50.0,False,False,False,2525.0,5,17.3%,258,False
S12,9,12,5 of Hearts | 7 of Clubs,9 of Hearts | 2 of Diamonds | 7 of Diamonds,12,18,Stand,150.0,Loss,-150.0,False,False,False,2375.0,5,18.9%,253,False
S12,9,13,10 of Hearts | K of Diamonds,J of Clubs | A of Spades,20,21,Stand,450.0,Loss,-450.0,False,False,False,1925.0,4,20.2%,249,False
S12,9,14,9 of Hearts | K of Clubs,A of Diamonds | Q of Diamonds,19,21,Stand,1350.0,Loss,-1350.0,False,False,False,575.0,4,21.5%,245,False
S12,10,1,3 of Hearts | J of Spades,8 of Spades | 8 of Clubs | 8 of Hearts,13,24,Stand,50.0,Win,50.0,False,True,False,2050.0,5,1.6%,307,False
S12,10,2,9 of Diamonds | 7 of Diamonds,5 of Clubs | 9 of Diamonds | 3 of Spades,16,17,Stand,50.0,Loss,-50.0,False,False,False,2000.0,5,3.2%,302,False
S12,10,3,6 of Diamonds | 7 of Spades,2 of Hearts | J of Diamonds | 4 of Clubs | 2 of Clubs,13,18,Stand,150.0,Loss,-150.0,False,False,False,1850.0,6,5.1%,296,False
S12,10,4,2 of Spades | 9 of Clubs | 3 of Spades,6 of Clubs | J of Diamonds | Q of Diamonds,14,26,Hit,450.0,Win,450.0,False,True,False,2300.0,6,7.1%,290,False
S12,10,5,8 of Spades | 10 of Diamonds,Q of Clubs | 10 of Hearts,18,20,Stand,50.0,Loss,-50.0,False,False,False,2250.0,4,8.3%,286,False
S12,10,6,K of Clubs | 7 of Clubs,8 of Diamonds | 8 of Clubs | 9 of Hearts,17,25,Stand,150.0,Win,150.0,False,True,False,2400.0,5,9.9%,281,False
S12,10,7,7 of Clubs | 9 of Spades,4 of Hearts | Q of Clubs | J of Diamonds,16,24,Stand,50.0,Win,50.0,False,True,False,2450.0,5,11.5%,276,False
S12,10,8,6 of Spades | 7 of Spades,3 of Hearts | 7 of Spades | A of Spades,13,21,Stand,50.0,Loss,-50.0,False,False,False,2400.0,5,13.1%,271,False
S12,10,9,Q of Diamonds | 8 of Spades,10 of Clubs | 9 of Hearts,18,19,Stand,150.0,Loss,-150.0,False,False,False,2250.0,4,14.4%,267,False
S12,10,10,Q of Clubs | J of Spades,K of Diamonds | 4 of Clubs | Q of Diamonds,20,24,Stand,450.0,Win,450.0,False,True,False,2700.0,5,16.0%,262,False
S12,10,11,J of Clubs | 3 of Clubs,7 of Spades | 10 of Diamonds,13,17,Stand,50.0,Loss,-50.0,False,False,False,2650.0,4,17.3%,258,False
S12,10,12,3 of Clubs | 6 of Hearts | 2 of Clubs | 6 of Diamonds,K of Hearts | 10 of Spades,17,20,Hit,150.0,Loss,-150.0,False,False,False,2500.0,6,19.2%,252,False
S12,10,13,3 of Spades | 7 of Hearts | 2 of Hearts,2 of Clubs | 9 of Diamonds | 10 of Clubs,12,21,Hit,450.0,Loss,-450.0,False,False,False,2050.0,6,21.2%,246,False
S12,10,14,J of Hearts | 6 of Diamonds,A of Hearts | 6 of Hearts,16,17,Stand,1350.0,Loss,-1350.0,False,False,False,700.0,4,22.4%,242,False
